id,reqid,req_type,batchid,oldbatchid,meter_number,meter_model,meter_manufacturer,manufacture_year,meter_type,meter_rating,v_rating,meter_classification,kct,supplier,meter_category,meter_type_id,ecmi_exported,deployed,addedby,supplierstoreid,supplierstoretype,currentstorelevel,storeowner,owner_type,audit_validated_by,audit_validated_date,billing_validated_by,billing_validated_date,rev_validated_by,rev_validated_date,status,deleted_at,created_at,updated_at
91109,0,0,371,371,45065174786,S12U6 MBUS,MOJEC INTERNATIONAL LTD,2020,SINGLE PHASE,60A,240V,,,CWG,1,1,0,0,1066,7,1,3,17,0,264,2022-02-23 10:31:13,0,,239,2022-01-04 16:38:03,2,,2021-12-29 11:32:02,2022-02-23 10:31:13
91110,0,0,371,371,45065174844,S12U6 MBUS,MOJEC INTERNATIONAL LTD,2020,SINGLE PHASE,60A,240V,,,CWG,1,1,0,0,1066,7,1,3,17,0,264,2022-02-23 10:31:13,0,,239,2022-01-04 16:38:03,2,,2021-12-29 11:32:03,2022-02-23 10:31:13
91111,0,0,371,371,45065174778,S12U6 MBUS,MOJEC INTERNATIONAL LTD,2020,SINGLE PHASE,60A,240V,,,CWG,1,1,0,0,1066,7,1,3,17,0,264,2022-02-23 10:31:13,0,,239,2022-01-04 16:38:03,2,,2021-12-29 11:32:03,2022-02-23 10:31:13
91112,0,0,371,371,45065179983,S12U6 MBUS,MOJEC INTERNATIONAL LTD,2020,SINGLE PHASE,60A,240V,,,CWG,1,1,0,0,1066,7,1,3,17,0,264,2022-02-23 10:31:13,0,,239,2022-01-04 16:38:04,2,,2021-12-29 11:32:04,2022-02-23 10:31:13
91113,0,0,371,371,45065179967,S12U6 MBUS,MOJEC INTERNATIONAL LTD,2020,SINGLE PHASE,60A,240V,,,CWG,1,1,0,0,1066,7,1,3,17,0,264,2022-02-23 10:31:13,0,,239,2022-01-04 16:38:04,2,,2021-12-29 11:32:04,2022-02-23 10:31:13
91114,0,0,371,371,45065180015,S12U6 MBUS,MOJEC INTERNATIONAL LTD,2020,SINGLE PHASE,60A,240V,,,CWG,1,1,0,0,1066,7,1,3,17,0,264,2022-02-23 10:31:13,0,,239,2022-01-04 16:38:04,2,,2021-12-29 11:32:05,2022-02-23 10:31:13
91115,0,0,371,371,45065180007,S12U6 MBUS,MOJEC INTERNATIONAL LTD,2020,SINGLE PHASE,60A,240V,,,CWG,1,1,0,0,1066,7,1,3,17,0,264,2022-02-23 10:31:13,0,,239,2022-01-04 16:38:04,2,,2021-12-29 11:32:05,2022-02-27 14:31:04
91116,0,0,371,371,45065180023,S12U6 MBUS,MOJEC INTERNATIONAL LTD,2020,SINGLE PHASE,60A,240V,,,CWG,1,1,0,0,1066,7,1,3,17,0,264,2022-02-23 10:31:13,0,,239,2022-01-04 16:38:04,2,,2021-12-29 11:32:05,2022-02-23 10:31:13
91117,0,0,371,371,45065179975,S12U6 MBUS,MOJEC INTERNATIONAL LTD,2020,SINGLE PHASE,60A,240V,,,CWG,1,1,0,0,1066,7,1,3,17,0,264,2022-02-23 10:31:13,0,,239,2022-01-04 16:38:04,2,,2021-12-29 11:32:06,2022-02-23 10:31:13
91118,0,0,371,371,45065180031,S12U6 MBUS,MOJEC INTERNATIONAL LTD,2020,SINGLE PHASE,60A,240V,,,CWG,1,1,0,0,1066,7,1,3,17,0,264,2022-02-23 10:31:13,0,,239,2022-01-04 16:38:04,2,,2021-12-29 11:32:06,2022-02-23 10:31:13
91119,0,0,371,371,45065179934,S12U6 MBUS,MOJEC INTERNATIONAL LTD,2020,SINGLE PHASE,60A,240V,,,CWG,1,1,0,0,1066,7,1,3,17,0,264,2022-02-23 10:31:13,0,,239,2022-01-04 16:38:04,2,,2021-12-29 11:32:06,2022-02-23 10:31:13
91120,0,0,371,371,45065180049,S12U6 MBUS,MOJEC INTERNATIONAL LTD,2020,SINGLE PHASE,60A,240V,,,CWG,1,1,0,0,1066,7,1,3,17,0,264,2022-02-23 10:31:13,0,,239,2022-01-04 16:38:04,2,,2021-12-29 11:32:07,2022-02-23 10:31:13
91121,0,0,371,371,45065179991,S12U6 MBUS,MOJEC INTERNATIONAL LTD,2020,SINGLE PHASE,60A,240V,,,CWG,1,1,0,0,1066,7,1,3,17,0,264,2022-02-23 10:31:13,0,,239,2022-01-04 16:38:04,2,,2021-12-29 11:32:07,2022-03-03 07:47:49
